Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15435.0925,15964.3125,16360.14,15880.105,15578.8425,14944.495,15058.09,16009.285,16138.435,16698.9725,16900.3975,16850.33,18299.1775,18463.4675,19939.2575,20972.23734,21007.78812,21419.58891,21762.11469,21861.85048,23956.10376,23720.62281,24444.69185,25193.21089,25044.06993,25522.23148,26038.87177,25928.01456,25755.57734,26421.00763,26597.78542,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284532.9125,293636.64,299018.4025,300156.715,306538.5025,312677.465,302588.9675,309693.3375,318104.9725,323664.2025,331764.46,344887.8,364584.8725,380946.59,397530.1725,405785.2925,403216.4175,404088.565,404028.595,407797.8875,427893.4175,427541.9469,429746.4462,427079.8581,433815.2275,440618.0569,442998.9861,441517.7053,435783.5045,443522.1588,449213.973,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072.516828,2110.666692,2149.279056,2183.42142,2221.716284,2230.871982,2241.693527,2248.055072,2258.380411,2267.21575,2275.846088,2273.504772,2271.320955,2269.612139,2268.045822,2265.952006,2268.589086,2272.736167,2280.173247,2288.062827,2294.819907,2300.141377,2306.417847,2312.621817,2318.263286,2323.977256,2330.983995,2339.070735,2345.922474,2353.026713,2359.570952,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.806884,1497.653671,1595.082958,1679.809745,1636.179032,1674.865819,1637.816344,1648.961869,1585.864895,1744.32042,1849.905946,1788.495525,1914.175105,2034.227184,2038.369263,1995.826342,2189.584176,2046.59201,2121.789843,1924.455177,1922.33051,1972.759071,1924.160132,1763.671194,1741.344755,1668.833316,1656.69293,1721.400043,1686.527157,1637.264271,1538.873884,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.387159,570.17604,540.40242,538.928801,537.755181,585.446562,569.725249,566.356437,562.045125,585.033812,557.31,512.109053,511.253106,511.077158,514.598711,582.662764,567.702554,576.922345,507.247135,541.396925,542.111716,537.593968,531.20872,538.070972,505.430724,490.995476,495.116158,496.86434,476.377522,474.303204,451.523887,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5533.478939,5203.437955,5004.41447,4821.270985,5074.465,5552.6575,6257.8475,5985.15,5525.645,5495.25,5314.5375,6272.998135,6263.34877,2902.961904,3153.190039,3701.670674,4666.15702,3716.105867,7877.577213,3632.538559,9053.977406,11140.46478,5189.367144,4618.607013,3132.544383,2891.961752,2468.040165,3844.721079,2793.709493,1887.447906,3434.49382,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8576.118645,8776.528616,8801.541087,8821.828559,8895.56103,8973.411002,10057.84246,10162.50642,11127.50537,10025.53183,11461.48329,9645.203311,8592.765837,11064.61836,9834.498387,10361.17841,10452.52818,10689.15544,11237.14521,9086.687478,10128.07224,10836.4141,9465.810964,10088.45782,9878.119684,10047.98904,10876.17167,10032.4393,10304.31194,9538.027066,10108.5047,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68724.01167,70008.9684,72529.72961,74139.71518,75869.32954,78919.2907,80954.37193,82166.05731,84675.83671,84063.52729,84876.41692,86085.38503,87741.57485,88343.03285,90993.96605,91471.90318,93494.07806,92519.10765,88808.8907,85752.56296,86175.30233,87322.07291,87736.72586,90693.95833,93075.17433,93503.18789,95780.50859,100099.9216,103366.5221,103220.225,100143.3855,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154261.5437,146556.5015,138974.3656,130919.8464,123560.0919,120041.3451,119331.1263,117358.464,113279.7216,110121.064,106716.1961,104010.0527,102712.5061,103595.8634,101775.5767,101670.3542,101551.6381,100657.6443,99912.22759,97876.20475,98083.96882,94991.17562,93882.13381,92471.0019,91229.93492,90808.15801,89221.38987,89374.46298,89372.52861,88522.94174,88142.08485,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438.125825,6346.143956,6273.71155,6242.844056,6196.148778,6140.650605,6138.202015,5931.032951,5867.316254,5738.638824,5680.136644,5731.175479,5691.832038,5598.718757,5521.290386,5554.864987,5559.279111,5514.73184,5591.203393,5522.457413,5528.269765,5424.431338,5395.277672,5345.168296,5277.873312,5224.814676,5206.999464,5162.609488,5128.934511,5041.752034,4975.239558,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067.82959,10219.21656,10504.26854,10846.55052,11240.5725,11478.79083,11747.17167,12143.79,12367.67333,12497.34917,12473.5525,12335.39417,12134.98583,11966.7975,11974.28667,11821.84083,11628.2525,11323.085,11763.2375,11900.7075,12395.85,12438.26881,12704.62263,11597.70644,10825.18526,10595.63907,10901.44588,11032.67018,11454.03699,11657.5438,11795.5356,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763743.9634,773392.9144,779114.113,788426.504,810837.6825,848271.6636,856491.9948,811435.9759,813369.6545,807817.9232,807417.2368,800529.1555,793448.8666,818239.3002,864479.5989,901769.085,940300.2025,969728.9275,987719.575,1017352.598,1065645.775,1112586.85,1113082.918,1136038.588,1149171.233,1147403.83,1107003.366,1116767.24,1147167.921,1163215.195,1186285.181,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3956.222143,6503.022857,9091.216071,11480.83179,14083.2175,14441.24083,14708.17417,15054.115,15262.78333,15594.81167,15902.22,15402.94552,15150.24353,14120.72405,12896.52206,13114.74258,12427.9106,11517.73361,10498.25913,9496.119643,8703.230159,8161.303175,7507.56869,7852.256883,7371.587576,7266.493269,7975.878169,7794.963069,7734.040469,7780.217869,7980.365269,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14246.12853,18086.73452,17743.57551,16316.48901,14796.86,14383.79167,15090.75833,15702.99,16594.53917,16738.50333,17725.8325,16959.23149,16829.64548,17504.42697,16511.68846,17049.33494,16363.80362,15958.9273,15682.41598,15105.21466,14852.86833,14523.08322,14744.6956,15502.72048,16015.68786,17335.17774,17786.41228,16892.57183,17049.17887,17422.17091,17797.74545,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21776.6537,21893.63715,22207.0606,23268.35655,24442.7775,24626.6276,22668.76229,22833.84449,23257.06918,22402.56387,22345.92356,23612.15354,26294.76602,28191.68351,29202.62457,29230.89813,29798.40685,28810.43807,29873.8743,29999.41552,31219.52925,30894.80104,29716.80534,31158.24463,32010.77392,33015.38321,33572.51595,35411.26868,34282.00641,35279.79664,35684.20937,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723.369677,5712.668463,6080.184749,5991.826035,5563.867321,5848.876033,6061.055998,6715.380963,7587.873428,8000.390893,8082.145858,7718.32126,6708.709161,7043.259562,7424.702464,8441.557865,9402.445911,7871.288957,8158.189503,8914.790049,9991.025595,9705.046609,9028.697623,8362.151137,8142.34965,7983.838164,7720.912605,8476.737046,10161.13149,10589.08843,9957.260368,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57093.07,56760.81,57837.81,59005.6075,60359.315,61894.1175,62948.3725,62978.9275,64326.0825,62753.2675,62671.1975,63538.7725,63398.2025,64635.26,65405.8575,65811.68649,66175.05142,67897.76385,69091.04628,70318.52872,73090.65865,71919.59581,70257.18547,70987.58762,70942.35978,69476.75694,70164.07757,72050.92571,75182.89885,78081.48948,77156.40012,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.907518,153.852514,157.565009,161.215005,162.08,164.247495,166.276829,168.343662,172.937996,174.799829,155.441662,167.972692,171.803721,165.937251,168.48828,171.284309,186.5272,166.26259,188.372981,190.975871,202.243762,217.107869,224.234476,228.143583,235.10269,238.401798,234.504512,236.427227,236.774941,237.035156,236.81787,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.150374,78.004178,85.522982,87.779285,84.388089,87.754393,82.046514,82.298636,84.135757,81.757879,78.05,76.539964,78.494928,77.954892,83.909856,83.82482,82.443187,80.431554,80.334921,85.113288,88.224155,89.2332,90.422245,91.771289,93.065334,94.406878,95.785023,87.993168,88.471312,89.104457,93.207601,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3976.46,4034.175,4073.7875,4150.9175,3920.65,3657.9575,3671.675,3681.1,3797.9775,3778.615,3801.0975,3733.4775,3663.1125,3605.9525,3574.2775,3704.1725,3698.390615,3889.55873,4043.486846,4101.577461,4171.650576,4263.793212,4206.285848,4286.028483,4298.688619,4343.133755,4492.089234,4631.954712,4814.065191,4919.66067,4650.441149,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20889.52698,21346.28643,21570.45589,19988.19035,18763.45731,17635.04369,16856.24501,15573.74133,14472.68242,13931.83352,13121.34342,13551.75739,13966.04387,15498.02784,15697.47931,16241.77234,17168.18235,17362.72653,17583.10071,17837.86739,18127.83497,18141.31838,18122.54929,18350.8402,18377.37111,17936.75703,16788.65493,16978.58783,17008.47574,17197.42364,16570.62404,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12556.085,12158.1075,12083.785,11117.135,11459.6475,11228.96,11873.8375,11740.23761,11678.54022,11386.23033,11364.67044,11190.33791,11304.68289,11456.90786,10990.58033,10323.54531,10650.83757,10723.42483,10964.5521,11562.87436,11419.94662,11747.94838,11731.06764,11758.8744,11721.97115,11230.41541,11355.80267,10948.58992,11013.14468,10837.05943,10377.33169,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.058985,538.179661,548.811083,562.879855,577.207562,590.389811,601.937362,609.380725,616.620736,623.344629,639.407968,661.558182,681.185065,674.193,674.228891,668.609027,672.252077,671.942739,679.239232,683.10615,688.984161,691.530994,691.990598,689.799428,699.400867,709.142413,726.721128,736.72211,739.498092,744.686573,749.702555,,,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23657.07211,22157.84232,20655.75199,19720.05322,18517.49206,17993.18625,17763.67607,17403.14567,16711.42827,15855.72179,14977.33225,14683.48604,14136.36635,14064.79385,13652.28346,14041.60746,14292.78489,13823.55467,13924.58664,13589.51517,13817.51154,13771.10787,13619.36928,12822.31404,12755.61822,12762.36222,12474.72087,12492.4597,12408.73854,12423.22987,12381.5937,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99831.43715,96967.89111,91522.04765,89983.93407,88513.18639,87489.98025,86227.69427,83254.97236,79774.28086,77547.9447,74994.17598,73321.5606,71085.24495,68926.26613,66261.0551,64633.58239,62768.41364,61210.44374,60805.60441,58902.25138,57837.37216,55937.54184,55341.92784,55084.36637,53386.29065,52526.91041,51599.11264,51150.7377,49595.39775,48449.86781,46917.60037,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.653474,446.247003,450.820532,462.574061,478.34009,512.065678,536.148374,546.30107,560.166267,584.378963,591.054159,595.068795,598.335932,602.900568,610.552704,614.31234,609.973128,613.716416,616.709704,621.142992,624.13628,626.844141,633.404501,636.369862,641.142722,645.523083,650.436537,650.047491,653.103446,656.5119,659.922854,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.730494,97.585311,97.680129,97.957446,98.097264,88.519903,79.259923,69.832442,60.402461,50.974981,41.545,41.5475,41.0475,41.05,41.0525,41.5525,41.563883,41.775266,41.804149,41.835532,42.136915,42.545101,43.065787,42.911473,42.992159,43.012845,43.028239,43.333633,43.539026,43.70442,43.872314,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9631.63185,9899.446083,9950.957271,10129.89385,10011.94314,9958.134418,10091.03187,10187.87564,10174.59962,10249.16084,10556.75423,10739.94249,10619.15724,10558.5934,10528.04075,10414.68998,10170.95538,9989.503294,9694.632855,9304.096063,9441.925046,9058.79333,8852.127586,8615.271483,8451.204235,8434.565215,8390.964325,8289.487974,8106.776623,7896.685272,7778.773921,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5956.9375,6562.2675,6679.5575,7251.585,7552.24,7317.9375,7212.635,6991.9325,6814.095,6406.3925,6269.265,6595.355563,6812.631127,6726.22919,7234.167254,7042.005317,7144.789018,7839.905219,8035.831421,8320.460122,8479.748823,8562.90032,8587.251816,8648.610813,8710.124809,8738.438806,8828.497819,8960.939333,9138.243346,9137.69986,9243.113873,,,
