,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GHG Type
20,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62936.9,66428.5,66844.6,72219.1,73606.2,76440.2,76123.8,74433.2,74649.1,77505.3,80046.8,78645.5,82404.3,88188.9,89492.7,94187.8,99808.7,102750.2,107745.5,112172.2,114179.4,120784.9,134934.2,139024.1,147735.2,156273.0,154654.3,157704.4,164534.1,170582.4,161563.0,0.0,0.0,0.0,Carbon Dioxide
21,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54129.63435,54521.56139,54782.24842,57900.56796,59161.955,62861.46667,66487.41083,67528.4325,68539.21167,69966.55583,73799.235,72147.38229,74728.67707,81778.33936,83388.25915,86366.42643,87553.67456,87333.22018,87297.94581,83730.82893,83875.26456,81937.2828,85112.12605,85057.58179,88114.35504,88228.59828,90856.88885,90256.30442,91576.87498,90220.78805,86543.92362,0.0,0.0,0.0,Methane
22,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5066.418384,4856.020338,4826.014492,4735.213046,4328.9442,4240.301933,4344.014867,4210.0318,4785.744333,4723.450867,7477.3984,7638.334894,7463.981387,7707.740881,8388.925975,7772.803468,8129.493406,8161.157544,7866.426881,8469.091619,8734.473356,9354.608866,10333.67758,10912.04108,11704.86639,12313.7395,12290.24548,12303.29866,12488.53884,12597.83722,12578.7476,0.0,0.0,0.0,Nitrous Oxide
23,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,166.8,0.0,0.0,230.2,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
24,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122132.95273399999,125806.081728,126452.86291200001,134854.881006,137097.0992,143541.968603,146955.225697,146171.6643,147974.056003,152195.306697,161383.9334,158431.217184,164596.958457,177674.980241,181269.885125,188493.829898,195491.867966,198244.577724,203140.072691,204372.12054899998,207064.13791599998,212076.79166599998,230380.00363000002,234993.72287,247554.42143,256815.33778,257801.43433,260264.00308,268599.51382,273401.02527,260685.67122000002,0.0,0.0,0.0,Total
25,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
26,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methane
27,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carbon Dioxide
28,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total
29,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nitrous Oxide
30,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.70326800000004,431.79762,432.891972,437.650324,435.080676,454.495028,484.822345,496.829663,523.49298,546.492297,558.499614,560.397771,569.623928,575.186084,602.7322409999999,619.2863970000001,591.8001380000001,586.297879,588.12362,567.965361,569.791101,544.196384,540.5856650000001,529.6469470000001,515.044229,518.761511,522.8107630000001,519.532014,549.229266,534.958518,504.24416899999994,0.0,0.0,0.0,Total
31,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.408245,1.457396,1.506547,1.555698,1.604849,1.654,1.674723,1.695446,1.716169,1.736892,1.757614,1.840267,1.922919,2.005571,2.088223,2.170875,2.166855,2.162835,2.158815,2.154795,2.150774,2.072382,1.993989,1.915596,1.837204,1.758811,1.758811,1.758811,1.758811,1.758811,1.758811,0.0,0.0,0.0,Nitrous Oxide
32,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.591023,23.636224,24.681425,25.726626,26.771827,27.817028,28.811622,29.806217,30.800811,31.795405,32.79,34.605504,36.421009,38.236513,40.052018,41.867522,43.697283,45.527044,47.356805,49.186566,51.016327,51.148002,51.279676,51.411351,51.543025,51.6747,52.059952,52.445203,52.830455,53.215707,53.600959,0.0,0.0,0.0,Methane
33,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
34,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.704,406.704,406.704,410.368,406.704,425.024,454.336,465.328,490.976,512.96,523.952,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,479.984,448.884399,0.0,0.0,0.0,Carbon Dioxide
35,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6564.2,6674.5,6877.3,9269.7,11298.23,12719.48,15442.4,16154.9,16767.9,17613.22,16204.16,15955.9,15689.5,16764.8,17453.6,15811.2,16558.6,16966.4,19275.3,21145.0,22801.5,23865.8,23868.0,26958.7,29610.5,31648.9,29520.7,25064.8,23637.4,24382.9,19814.5,0.0,0.0,0.0,Carbon Dioxide
36,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15298.1161,15339.88228,15387.69965,15339.82603,15298.23041,15282.18339,13780.30535,13546.81271,14958.74467,13843.69484,14254.9178,14598.4332,15799.896,18109.8296,18236.7898,17925.7228,16570.96996,17741.51332,16832.97809,16929.86605,17812.16981,18403.57176,17489.66352,18068.72927,17527.36362,18238.39278,18282.69915,18661.83952,16759.86409,18795.60166,17757.86784,0.0,0.0,0.0,Nitrous Oxide
37,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21316.78281,21593.96632,22165.15234,22754.71835,23720.63686,25458.37788,25690.9888,26088.56973,28337.72315,27517.93908,27459.2825,27461.15,29195.3,31225.92,32190.235,33940.2375,33496.67019,36458.98038,37601.57807,36731.97826,38100.52595,37827.83037,36964.16479,37028.61921,36190.28613,38455.63556,38558.28907,37896.82008,34015.56609,35023.4996,32703.23811,0.0,0.0,0.0,Methane
38,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43179.09891,43608.3486,44430.151990000006,47364.244380000004,50317.09727,53460.04127,54913.69415,55790.282439999995,60064.36782,58974.85392,57919.0603,58015.4832,60684.695999999996,66100.5496,67880.62479999999,67696.4603,66626.24015,71166.8937,73736.35616000001,74806.84431,78745.19576,80097.20213,78321.82831000001,82056.04848,83328.14975000001,88342.92834,86361.68822,81623.4596,74412.83018,78202.00126,70275.60595,0.0,0.0,0.0,Total
39,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,0.0,26.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
40,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.2,221.4,218.5,222.0,225.2,235.2,254.8,267.6,286.0,299.3,312.5,321.9,335.1,360.7,367.4,376.7,398.0,419.2,428.1,453.6,465.8,456.1,469.9,472.9,476.6,490.2,500.5,500.1,508.6,509.0,474.6,0.0,0.0,0.0,Carbon Dioxide
41,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.84601399999997,367.029028,369.22074299999997,378.467957,387.534971,403.069486,426.732794,444.72200200000003,468.01241,486.80931799999996,504.529627,517.808964,534.4141010000001,563.5307379999999,573.612075,585.733013,609.468447,632.576983,643.488818,670.992553,664.141288,656.710104,672.7433199999999,677.750236,683.517351,699.156967,711.742852,713.182538,723.373323,724.226909,691.229295,0.0,0.0,0.0,Total
